Name,Japanese_name,Type,Episodes,Release_season,Rating
The Disastrous Life of Saiki K. - Reawakened, Saiki Kusuo no Psi Nan: Shidou-hen,Web  ,6.0,Winter, Shounen
Hunter x Hunter OVA,,OVA  ,8.0,, Adventure
ReLIFE: Kanketsu-hen,,OVA  ,4.0,, Drama
Kamisama Kiss OVA, Kamisama Hajimemashita OVA,OVA  ,1.0,, Fantasy
History's Strongest Disciple Kenichi, Shijou Saikyou no Deshi Kenichi,TV   ,50.0,Fall , Comedy
Castlevania Season 2,,Web  ,8.0,Fall , Adventure
Wu Dong Qiankun 2nd Season,,Web  ,12.0,, Adventure
Baccano!,,TV   ,13.0,Summer, America
One Outs,,TV   ,25.0,Fall , Sports
Re:ZERO -Starting Life in Another World-, Re:Zero Kara Hajimeru Isekai Seikatsu,TV   ,25.0,Spring, Adventure
Skip Beat!,,TV   ,25.0,Fall , Romance
Golden Kamuy Season 2,,TV   ,12.0,Fall , Adventure
Owarimonogatari,,TV   ,12.0,Fall , Psychological
Silver Spoon 2nd Season, Gin no Saji 2nd Season,TV   ,11.0,Winter, Shounen
Mobile Suit Gundam 00 Second Season, Kidou Senshi Gundam 00 Second Season,TV   ,25.0,Fall , Mecha
When They Cry: Kai, Higurashi no Naku Koro ni Kai,TV   ,24.0,Summer, Conspiracy
Natsume's Book of Friends, Natsume Yuujinchou,TV   ,13.0,Summer, Shoujo
The Seven Deadly Sins: Revival of the Commandments, Nanatsu no Taizai: Imashime no Fukkatsu,TV   ,24.0,Winter, Adventure
Toradora!,,TV   ,25.0,Fall , Romance
Grand Blue, Grand Blue Dreaming,TV   ,12.0,Summer, Ecchi
Nodame Cantabile: Finale,,TV   ,11.0,Winter, Josei
xxxHOLiC Kei,,TV   ,13.0,Spring, Seinen
Gintama,,TV   ,201.0,Spring, Comedy
Vivy: Fluorite Eye's Song,,TV   ,13.0,Spring, Drama
Psycho-Pass,,TV   ,22.0,Fall , Sci Fi
Fate/Zero,,TV   ,13.0,Fall , Fantasy
xxxHOLiC Rou,,OVA  ,2.0,, Seinen
Initial D Fourth Stage,,TV   ,24.0,Spring, Drama
Overlord II,,TV   ,13.0,Winter, Fantasy
Chuan Shu Zijiu Zhinan, Scumbag System,Web  ,10.0,, Fantasy
Sekai-ichi Hatsukoi: World's Greatest First Love 2, Sekai-ichi Hatsukoi 2,TV   ,12.0,Fall , Comedy
Ascendance of a Bookworm, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV   ,14.0,Fall , Fantasy
Tsubasa Reservoir Chronicle: Tokyo Revelations, Tsubasa Chronicle: Tokyo Revelations,OVA  ,3.0,, Fantasy
Junjou Romantica 2,,TV   ,12.0,Fall , Comedy
Wotakoi: Love is Hard for Otaku, Wotaku ni Koi wa Muzukashii,TV   ,11.0,Spring, Romance
Nichijou: My Ordinary Life,,TV   ,26.0,Spring, Shounen
Trigun,,TV   ,26.0,Spring, Adventure
Saga of Tanya the Evil, Youjo Senki,TV   ,12.0,Winter, Fantasy
Psychic Princess, Tongling Fei,Web  ,16.0,, Drama
Junjou Romantica 3,,TV   ,12.0,Summer, Comedy
Nodame Cantabile,,TV   ,23.0,Winter, Josei
Space Brothers, Uchuu Kyoudai,TV   ,99.0,Spring, Sci Fi
Noragami,,TV   ,12.0,Winter, Comedy
The Seven Deadly Sins, Nanatsu no Taizai,TV   ,24.0,Fall , Adventure
Death Parade,,TV   ,12.0,Winter, Afterlife
Ghost in the Shell: Stand Alone Complex, Koukaku Kidoutai: Stand Alone Complex,TV   ,26.0,Fall , Cyberpunk
Fire Force 2nd Season, Enn Enn no Shouboutai 2nd Season,TV   ,24.0,Summer, Comedy
Initial D Fifth Stage,,TV   ,14.0,Fall , Drama
Food Wars! The Fourth Plate, Shokugeki no Souma: Shin no Sara,TV   ,12.0,Fall , Ecchi
Tokyo Ghoul,,TV   ,12.0,Summer, Drama
Swallowed Star, Tunshi Xingkong,Web  ,26.0,, Fantasy
Angel Beats!,,TV   ,13.0,Spring, Comedy
My Hero Academia 5, Boku no Hero Academia 5,TV   ,25.0,Spring, Sci Fi
Castlevania Season 3,,Web  ,10.0,Winter, Adventure
Puella Magi Madoka Magica, Mahou Shoujo Madoka Magica,TV   ,12.0,Winter, Magical Girl
Ping Pong The Animation,,TV   ,11.0,Spring, Seinen
Rurouni Kenshin, Rurouni Kenshin: Meiji Kenkaku Romantan,TV   ,94.0,Winter, Shounen
World Trigger 2nd Season,,TV   ,12.0,Winter, Sci Fi
Hajime no Ippo: Mashiba vs Kimura,,OVA  ,1.0,, Drama
Star Blazers: Space Battleship Yamato 2199, Uchuu Senkan Yamato 2199,OVA  ,26.0,, Sci Fi
Yaoshenji 3rd Season, Tales of Demons and Gods 3rd Season,Web  ,40.0,, Fantasy
Laid-Back Camp, Yuru Camp,TV   ,12.0,Winter, Comedy
Land of the Lustrous, Houseki no Kuni,TV   ,12.0,Fall , Drama
86: Eighty-Six,,TV   ,11.0,Spring, Drama
BECK: Mongolian Chop Squad,,TV   ,26.0,Fall , Shounen
Cross Game,,TV   ,50.0,Spring, Shounen
Wotakoi: Love is Hard for Otaku - Youth, Wotaku ni Koi wa Muzukashii: Youth,OVA  ,1.0,, Romance
Wanmei Shijie, Perfect World,Web  ,41.0,, Adventure
Sleepy Princess in the Demon Castle, Maou-jou de Oyasumi,TV   ,12.0,Fall , Fantasy
Nodame Cantabile: Paris, Nodame Cantabile: Paris-hen,TV   ,11.0,Fall , Josei
Nana,,TV   ,47.0,Spring, Romance
Kimi ni Todoke - From Me To You 2nd Season,,TV   ,12.0,Winter, Drama
Wan Sheng Jie 2, All Saints Street 2,Web  ,12.0,, Fantasy
Princess Jellyfish, Kuragehime,TV   ,11.0,Fall , Josei
Hozuki's Coolheadedness 2nd Season: Part II, Hozuki no Reitetsu 2nd Season: Part II,TV   ,13.0,Spring, Seinen
Miss Kobayashi's Dragon Maid, Kobayashi-san Chi no Maid Dragon,TV   ,13.0,Winter, Fantasy
Astra Lost in Space, Kanata no Astra,TV   ,12.0,Summer, Adventure
Assassination Classroom 2nd Season: Kagaijugyou-hen, Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,Web  ,8.0,Winter, Comedy
Dou Po Cangqiong 3rd Season, Battle Through the Heavens 3rd Season,Web  ,12.0,, Fantasy
Snow White with the Red Hair, Akagami no Shirayuki-hime,TV   ,12.0,Summer, Fantasy
Black Clover,,TV   ,170.0,Fall , Adventure
One-Punch Man: Road to Hero,,OVA  ,1.0,, Comedy
Mobile Suit Gundam: The Origin, Kidou Senshi Gundam: The Origin,OVA  ,6.0,, Drama
Yowamushi Pedal: Grande Road, Yowapeda: Grande Road,TV   ,24.0,Fall , Sports
Hozuki's Coolheadedness OVA 3, Hozuki no Reitetsu OVA 3,OVA  ,3.0,, Seinen
Junjou Romantica OVA 2,,OVA  ,1.0,, Comedy
Welcome to the Ballroom, Ballroom e Youkoso,TV   ,24.0,Summer, Shounen
Yu Yu Hakusho,,TV   ,112.0,, Shounen
Katanagatari,,TV   ,12.0,Winter, Adventure
Full Metal Panic? Fumoffu,,TV   ,12.0,Summer, Comedy
Log Horizon,,TV   ,25.0,Fall , Fantasy
Major: Message,,OVA  ,1.0,, Shounen
Keep Your Hands Off Eizouken!, Eizouken ni wa Te wo Dasu na!,TV   ,12.0,Winter, Seinen
My Teen Romantic Comedy SNAFU TOO!, Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV   ,13.0,Spring, Drama
Magi: Adventure of Sinbad, Magi: Sinbad no Bouken,TV   ,13.0,Spring, Adventure
Clannad,,TV   ,23.0,Fall , Drama
TONIKAWA: Over the Moon for You, Tonikaku Kawaii: Fly me to the Moon,TV   ,12.0,Fall , Romance
Teasing Master Takagi-san 2, Karakai Jouzu no Takagi-san 2,TV   ,12.0,Summer, Romance
Initial D Second Stage,,TV   ,13.0,Fall , Drama
Fairy Tail,,TV   ,175.0,Fall , Adventure
Black Lagoon,,TV   ,12.0,Spring, Seinen
Durarara!!,,TV   ,24.0,Winter, Gangs
TONIKAWA: Over the Moon for You OVA, Tonikaku Kawaii: SNS,OVA  ,1.0,, Romance
Kimi ni Todoke - From Me To You,,TV   ,25.0,Fall , Drama
Spice and Wolf, Ookami to Koushinryou,TV   ,13.0,Winter, Drama
Nisemonogatari,,TV   ,11.0,Winter, Comedy
Attack on Titan: The Final Season PV, Shingeki no Kyojin: The Final Season PV,Web  ,1.0,, Fantasy
Time of Eve, Eve no Jikan,Web  ,6.0,Summer, Sci Fi
The Prince of Tennis: The National Tournament - Final, Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,OVA  ,7.0,, Sports
Megalo Box 2: Nomad,,TV   ,13.0,Spring, Drama
Baby Steps 2,,TV   ,25.0,Spring, Sports
Mononoke,,TV   ,12.0,Summer, Abstract
The Tatami Galaxy, Yojouhan Shinwa Taikei,TV   ,11.0,Spring, Romance
The Pet Girl of Sakurasou, Sakurasou no Pet na Kanojo,TV   ,24.0,Fall , Drama
Tenchi Muyo! War on Geminar, Isekai no Seikishi Monogatari,OVA  ,13.0,, Ecchi
Terror in Resonance, Zankyou no Terror,TV   ,11.0,Summer, Drama
Durarara!! X2 The Third Arc, Durarara!!x2 Ketsu,TV   ,12.0,Winter, Comedy
Nura: Rise of the Youkai Clan - Demon Capital, Nurarihyon no Mago: Sennen Makyou,TV   ,24.0,Summer, Shounen
Berserk, Kenpuu Denki Berserk,TV   ,25.0,Fall , Fantasy
Durarara!! X2, Durarara!!x2 Shou,TV   ,12.0,Winter, Comedy
Noragami Aragoto OVA,,OVA  ,2.0,, Shounen
Stars Align, Hoshiai no Sora,TV   ,12.0,Fall , Sports
Mobile Suit Gundam 00, Kidou Senshi Gundam 00,TV   ,25.0,Fall , Mecha
Link Click: Marrying by Contesting, Shiguang Dailiren: Biwu Zhaoqin,Web  ,1.0,, Chinese Animation
Lupin III: Part V, Lupin Sansei: Adventure in France,TV   ,24.0,Spring, Comedy
Magi: The Labyrinth of Magic,,TV   ,25.0,Fall , Adventure
ReLIFE,,Web  ,13.0,Summer, Drama
Dorohedoro,,TV   ,12.0,Winter, Fantasy
A Certain Scientific Railgun S, Toaru Kagaku no Railgun S,TV   ,24.0,Spring, Sci Fi
Daily Lives of High School Boys, Danshi Koukousei no Nichijou,TV   ,12.0,Winter, Shounen
